sample_id,activity,distance_m,orientation,condition,source_points_csv,frame_start,frame_end,valid_frames,num_frames,points_per_frame,feature_dim,npz_path
Standing__radar_data_20251209_182239__f000001-000019__000,Standing,nan,,radar_data_20251209_182239,Standing/radar_data_20251209_182239/points_cloud.csv,1,19,19,32,64,6,samples/Standing__radar_data_20251209_182239__f000001-000019__000.npz
Standing__radar_data_20251209_182639__f000001-000029__000,Standing,nan,,radar_data_20251209_182639,Standing/radar_data_20251209_182639/points_cloud.csv,1,29,29,32,64,6,samples/Standing__radar_data_20251209_182639__f000001-000029__000.npz
Standing__radar_data_20251209_182843__f000001-000022__000,Standing,nan,,radar_data_20251209_182843,Standing/radar_data_20251209_182843/points_cloud.csv,1,22,22,32,64,6,samples/Standing__radar_data_20251209_182843__f000001-000022__000.npz
Standing__radar_data_20251209_183103__f000001-000032__000,Standing,nan,,radar_data_20251209_183103,Standing/radar_data_20251209_183103/points_cloud.csv,1,32,32,32,64,6,samples/Standing__radar_data_20251209_183103__f000001-000032__000.npz
Standing__radar_data_20251209_183332__f000001-000026__000,Standing,nan,,radar_data_20251209_183332,Standing/radar_data_20251209_183332/points_cloud.csv,1,26,26,32,64,6,samples/Standing__radar_data_20251209_183332__f000001-000026__000.npz
Walking_togather__radar_data_20251209_175627__f000001-000001__000,Walking_togather,nan,,radar_data_20251209_175627,Walking_togather/radar_data_20251209_175627/points_cloud.csv,1,1,1,32,64,6,samples/Walking_togather__radar_data_20251209_175627__f000001-000001__000.npz
Walking_togather__radar_data_20251209_175926__f000001-000032__000,Walking_togather,nan,,radar_data_20251209_175926,Walking_togather/radar_data_20251209_175926/points_cloud.csv,1,32,32,32,64,6,samples/Walking_togather__radar_data_20251209_175926__f000001-000032__000.npz
Walking_togather__radar_data_20251209_180127__f000001-000020__000,Walking_togather,nan,,radar_data_20251209_180127,Walking_togather/radar_data_20251209_180127/points_cloud.csv,1,20,20,32,64,6,samples/Walking_togather__radar_data_20251209_180127__f000001-000020__000.npz
Walking_togather__radar_data_20251209_180250__f000001-000032__000,Walking_togather,nan,,radar_data_20251209_180250,Walking_togather/radar_data_20251209_180250/points_cloud.csv,1,32,32,32,64,6,samples/Walking_togather__radar_data_20251209_180250__f000001-000032__000.npz
Walking_togather__radar_data_20251209_180414__f000001-000026__000,Walking_togather,nan,,radar_data_20251209_180414,Walking_togather/radar_data_20251209_180414/points_cloud.csv,1,26,26,32,64,6,samples/Walking_togather__radar_data_20251209_180414__f000001-000026__000.npz
